Username,Datetime,Tweet,Clean,Tokenization,Lowercase,Normalize,Stopword,Hasil
Rahman12996,2023-03-29 23:25:49+00:00,"Skenarionya gini
-Argentina gagal lolos Piala Dunia U-20
-Indonesia Batal Jadi Tuan Rumah Piala Dunia U-20
-Argentina jadi tuan rumah gantiin Indonesia
-Argentina main di Piala Dunia U-20
-Argentina juara PD U-20

Artinya apa bang messi?
Fix Kalah ama Bandar (FIFA)
LOL",Skenarionya gini Argentina gagal lolos Piala Dunia Indonesia Batal Jadi Tuan Rumah Piala Dunia Argentina jadi tuan rumah gantiin Indonesia Argentina main di Piala Dunia Argentina juara PD Artinya apa bang messi Fix Kalah ama Bandar FIFA LOL,"['Skenarionya', 'gini', 'Argentina', 'gagal', 'lolos', 'Piala', 'Dunia', 'Indonesia', 'Batal', 'Jadi', 'Tuan', 'Rumah', 'Piala', 'Dunia', 'Argentina', 'jadi', 'tuan', 'rumah', 'gantiin', 'Indonesia', 'Argentina', 'main', 'di', 'Piala', 'Dunia', 'Argentina', 'juara', 'PD', 'Artinya', 'apa', 'bang', 'messi', 'Fix', 'Kalah', 'ama', 'Bandar', 'FIFA', 'LOL']",skenarionya gini argentina gagal lolos piala dunia indonesia batal jadi tuan rumah piala dunia argentina jadi tuan rumah gantiin indonesia argentina main di piala dunia argentina juara pd artinya apa bang messi fix kalah ama bandar fifa lol,"['skenarionya', 'gini', 'argentina', 'gagal', 'lolos', 'piala', 'dunia', 'indonesia', 'batal', 'jadi', 'tuan', 'rumah', 'piala', 'dunia', 'argentina', 'jadi', 'tuan', 'rumah', 'gantiin', 'indonesia', 'argentina', 'main', 'di', 'piala', 'dunia', 'argentina', 'juara', 'pada', 'artinya', 'apa', 'bang', 'messi', 'fix', 'kalah', 'sama', 'bandar', 'fifa', 'tertawa']","['skenarionya', 'gini', 'argentina', 'gagal', 'lolos', 'piala', 'dunia', 'indonesia', 'batal', 'tuan', 'rumah', 'piala', 'dunia', 'argentina', 'tuan', 'rumah', 'gantiin', 'indonesia', 'argentina', 'main', 'piala', 'dunia', 'argentina', 'juara', 'bang', 'messi', 'fix', 'kalah', 'bandar', 'fifa', 'tertawa']",skenarionya gini argentina gagal lolos piala dunia indonesia batal tuan rumah piala dunia argentina tuan rumah gantiin indonesia argentina main piala dunia argentina juara bang messi fix kalah bandar fifa tertawa
wdtu,2023-03-29 23:54:18+00:00,"Potential sanctions against the PSSI may also be decided at a later stage.

Batal jadi tuan rumah FIFA U-20, 
Gagal main di PD U-20
PSSI di sanksi FIFA

Kerugian yang sangat amat besar bagi pembinaan bola Indonesia, reputasi Indonesia, wisata dan ekonomi.
Astagfirullah😭 https://t.co/WzJnMaY5lx",Potential sanctions against the PSSI may also be decided at a later stage Batal jadi tuan rumah FIFA Gagal main di PD PSSI di sanksi FIFA Kerugian yang sangat amat besar bagi pembinaan bola Indonesia reputasi Indonesia wisata dan ekonomi Astagfirullah,"['Potential', 'sanctions', 'against', 'the', 'PSSI', 'may', 'also', 'be', 'decided', 'at', 'a', 'later', 'stage', 'Batal', 'jadi', 'tuan', 'rumah', 'FIFA', 'Gagal', 'main', 'di', 'PD', 'PSSI', 'di', 'sanksi', 'FIFA', 'Kerugian', 'yang', 'sangat', 'amat', 'besar', 'bagi', 'pembinaan', 'bola', 'Indonesia', 'reputasi', 'Indonesia', 'wisata', 'dan', 'ekonomi', 'Astagfirullah']",potential sanctions against the pssi may also be decided at a later stage batal jadi tuan rumah fifa gagal main di pd pssi di sanksi fifa kerugian yang sangat amat besar bagi pembinaan bola indonesia reputasi indonesia wisata dan ekonomi astagfirullah,"['potential', 'sanctions', 'against', 'the', 'pssi', 'may', 'also', 'be', 'decided', 'at', 'a', 'later', 'stage', 'batal', 'jadi', 'tuan', 'rumah', 'fifa', 'gagal', 'main', 'di', 'pada', 'pssi', 'di', 'sanksi', 'fifa', 'kerugian', 'yang', 'sangat', 'amat', 'besar', 'bagi', 'pembinaan', 'bola', 'indonesia', 'reputasi', 'indonesia', 'wisata', 'dan', 'ekonomi', 'astagfirullah']","['potential', 'sanctions', 'against', 'the', 'pssi', 'may', 'also', 'be', 'decided', 'at', 'later', 'stage', 'batal', 'tuan', 'rumah', 'fifa', 'gagal', 'main', 'pssi', 'sanksi', 'fifa', 'kerugian', 'pembinaan', 'bola', 'indonesia', 'reputasi', 'indonesia', 'wisata', 'ekonomi', 'astagfirullah']",potential sanctions against the pssi may also be decided at later stage batal tuan rumah fifa gagal main pssi sanksi fifa kerugian pembinaan bola indonesia reputasi indonesia wisata ekonomi astagfirullah
ismailfahmi,2023-03-29 23:45:59+00:00,"Media Sosial

Pro (27%):
• Minta warganet professional dan kesampingkan kepentingan politis.
• Soroti drawing Pildun U-20 2023 terancam batal.
• Soroti nasib Indonesia yang akan disanksi FIFA akibat polemik Israel.

Kontra (60%) :
• Kedatangan Israel pengkhianatan konstitusi.…",Media Sosial Pro  Minta warganet professional dan kesampingkan kepentingan politis Soroti drawing Pildun  terancam batal Soroti nasib Indonesia yang akan disanksi FIFA akibat polemik Israel Kontra  Kedatangan Israel pengkhianatan konstitusi,"['Media', 'Sosial', 'Pro', 'Minta', 'warganet', 'professional', 'dan', 'kesampingkan', 'kepentingan', 'politis', 'Soroti', 'drawing', 'Pildun', 'terancam', 'batal', 'Soroti', 'nasib', 'Indonesia', 'yang', 'akan', 'disanksi', 'FIFA', 'akibat', 'polemik', 'Israel', 'Kontra', 'Kedatangan', 'Israel', 'pengkhianatan', 'konstitusi']",media sosial pro minta warganet professional dan kesampingkan kepentingan politis soroti drawing pildun terancam batal soroti nasib indonesia yang akan disanksi fifa akibat polemik israel kontra kedatangan israel pengkhianatan konstitusi,"['media', 'sosial', 'profesional', 'minta', 'warganet', 'professional', 'dan', 'kesampingkan', 'kepentingan', 'politis', 'soroti', 'drawing', 'piala', 'dunia', 'terancam', 'batal', 'soroti', 'nasib', 'indonesia', 'yang', 'akan', 'disanksi', 'fifa', 'akibat', 'polemik', 'israel', 'kontra', 'kedatangan', 'israel', 'pengkhianatan', 'konstitusi']","['media', 'sosial', 'profesional', 'warganet', 'professional', 'kesampingkan', 'kepentingan', 'politis', 'soroti', 'drawing', 'piala', 'dunia', 'terancam', 'batal', 'soroti', 'nasib', 'indonesia', 'disanksi', 'fifa', 'akibat', 'polemik', 'israel', 'kontra', 'kedatangan', 'israel', 'pengkhianatan', 'konstitusi']",media sosial profesional warganet professional kesampingkan kepentingan politis soroti drawing piala dunia terancam batal soroti nasib indonesia disanksi fifa akibat polemik israel kontra kedatangan israel pengkhianatan konstitusi
rantoru26,2023-03-29 23:19:52+00:00,"PIALA DUNIA U-20 BATAL. Di Situs FIFA Lebih Mengangkat Tragedi Kanjuruhan. Mungkin Sebagai Antisipasi. Kalau Tetap Digelar Dan Israel Main Di Indonesia, Takutnya Ada Oknum Anarkis Yang Malah Akan Membuat Rusuh Saat Pertandingan Israel. Mungkin Karena Itu Kali Ya??",PIALA DUNIA BATAL Di Situs FIFA Lebih Mengangkat Tragedi Kanjuruhan Mungkin Sebagai Antisipasi Kalau Tetap Digelar Dan Israel Main Di Indonesia Takutnya Ada Oknum Anarkis Yang Malah Akan Membuat Rusuh Saat Pertandingan Israel Mungkin Karena Itu Kali Ya,"['PIALA', 'DUNIA', 'BATAL', 'Di', 'Situs', 'FIFA', 'Lebih', 'Mengangkat', 'Tragedi', 'Kanjuruhan', 'Mungkin', 'Sebagai', 'Antisipasi', 'Kalau', 'Tetap', 'Digelar', 'Dan', 'Israel', 'Main', 'Di', 'Indonesia', 'Takutnya', 'Ada', 'Oknum', 'Anarkis', 'Yang', 'Malah', 'Akan', 'Membuat', 'Rusuh', 'Saat', 'Pertandingan', 'Israel', 'Mungkin', 'Karena', 'Itu', 'Kali', 'Ya']",piala dunia batal di situs fifa lebih mengangkat tragedi kanjuruhan mungkin sebagai antisipasi kalau tetap digelar dan israel main di indonesia takutnya ada oknum anarkis yang malah akan membuat rusuh saat pertandingan israel mungkin karena itu kali ya,"['piala', 'dunia', 'batal', 'di', 'situs', 'fifa', 'lebih', 'mengangkat', 'tragedi', 'kanjuruhan', 'mungkin', 'sebagai', 'antisipasi', 'kalau', 'tetap', 'digelar', 'dan', 'israel', 'main', 'di', 'indonesia', 'takutnya', 'ada', 'oknum', 'anarkis', 'yang', 'bahkan', 'akan', 'membuat', 'rusuh', 'saat', 'pertandingan', 'israel', 'mungkin', 'karena', 'itu', 'kali', 'iya']","['piala', 'dunia', 'batal', 'situs', 'fifa', 'mengangkat', 'tragedi', 'kanjuruhan', 'antisipasi', 'digelar', 'israel', 'main', 'indonesia', 'takutnya', 'oknum', 'anarkis', 'rusuh', 'pertandingan', 'israel', 'iya']",piala dunia batal situs fifa mengangkat tragedi kanjuruhan antisipasi digelar israel main indonesia takutnya oknum anarkis rusuh pertandingan israel iya
FardaniYS,2023-03-29 22:17:15+00:00,"Sangat disayangkan akhirnya Pildun U-20 batal, batal juga Indonesia main.
Siap-siap tunggu sanksi aja lah. Dan semoga FIFA juga tetap  lanjutin komitmen buat perbaiki sepakbola Indonesia.
Bela palestina ya bela lah, tapi ya gak sampek ngancurin diri sendiri juga kan.",Sangat disayangkan akhirnya Pildun batal batal juga Indonesia main Siap siap tunggu sanksi aja lah Dan semoga FIFA juga tetap lanjutin komitmen buat perbaiki sepakbola Indonesia Bela palestina ya bela lah tapi ya gak sampek ngancurin diri sendiri juga kan,"['Sangat', 'disayangkan', 'akhirnya', 'Pildun', 'batal', 'batal', 'juga', 'Indonesia', 'main', 'Siap', 'siap', 'tunggu', 'sanksi', 'aja', 'lah', 'Dan', 'semoga', 'FIFA', 'juga', 'tetap', 'lanjutin', 'komitmen', 'buat', 'perbaiki', 'sepakbola', 'Indonesia', 'Bela', 'palestina', 'ya', 'bela', 'lah', 'tapi', 'ya', 'gak', 'sampek', 'ngancurin', 'diri', 'sendiri', 'juga', 'kan']",sangat disayangkan akhirnya pildun batal batal juga indonesia main siap siap tunggu sanksi aja lah dan semoga fifa juga tetap lanjutin komitmen buat perbaiki sepakbola indonesia bela palestina ya bela lah tapi ya gak sampek ngancurin diri sendiri juga kan,"['sangat', 'disayangkan', 'akhirnya', 'piala', 'dunia', 'batal', 'batal', 'juga', 'indonesia', 'main', 'siap', 'siap', 'tunggu', 'sanksi', 'saja', 'lah', 'dan', 'semoga', 'fifa', 'juga', 'tetap', 'lanjutin', 'komitmen', 'buat', 'perbaiki', 'sepakbola', 'indonesia', 'bela', 'palestina', 'iya', 'bela', 'lah', 'tapi', 'iya', 'tidak', 'sampek', 'ngancurin', 'diri', 'sendiri', 'juga', 'kan']","['disayangkan', 'piala', 'dunia', 'batal', 'batal', 'indonesia', 'main', 'tunggu', 'sanksi', 'semoga', 'fifa', 'lanjutin', 'komitmen', 'perbaiki', 'sepakbola', 'indonesia', 'bela', 'palestina', 'iya', 'bela', 'iya', 'sampek', 'ngancurin']",disayangkan piala dunia batal batal indonesia main tunggu sanksi semoga fifa lanjutin komitmen perbaiki sepakbola indonesia bela palestina iya bela iya sampek ngancurin
2karakterbisa,2023-03-29 22:09:34+00:00,"Batal jadi tuan rumah Piala Dunia U-20, apa yg bisa didapat Indonesia? Bahkan hikmah pun rasanya tak bisa didapat. Sanksi FIFA justru menanti. Israel tetep main, palestina ga otomatis merdeka, Indonesia kehilangan segalanya. 

BREAKING NEWS",Batal jadi tuan rumah Piala Dunia apa yg bisa didapat Indonesia Bahkan hikmah pun rasanya tak bisa didapat Sanksi FIFA justru menanti Israel tetep main palestina ga otomatis merdeka Indonesia kehilangan segalanya BREAKING NEWS,"['Batal', 'jadi', 'tuan', 'rumah', 'Piala', 'Dunia', 'apa', 'yg', 'bisa', 'didapat', 'Indonesia', 'Bahkan', 'hikmah', 'pun', 'rasanya', 'tak', 'bisa', 'didapat', 'Sanksi', 'FIFA', 'justru', 'menanti', 'Israel', 'tetep', 'main', 'palestina', 'ga', 'otomatis', 'merdeka', 'Indonesia', 'kehilangan', 'segalanya', 'BREAKING', 'NEWS']",batal jadi tuan rumah piala dunia apa yg bisa didapat indonesia bahkan hikmah pun rasanya tak bisa didapat sanksi fifa justru menanti israel tetep main palestina ga otomatis merdeka indonesia kehilangan segalanya breaking news,"['batal', 'jadi', 'tuan', 'rumah', 'piala', 'dunia', 'apa', 'yang', 'bisa', 'didapat', 'indonesia', 'bahkan', 'hikmah', 'pun', 'rasanya', 'tidak', 'bisa', 'didapat', 'sanksi', 'fifa', 'justru', 'menanti', 'israel', 'tetap', 'main', 'palestina', 'ga', 'otomatis', 'merdeka', 'indonesia', 'kehilangan', 'segalanya', 'breaking', 'news']","['batal', 'tuan', 'rumah', 'piala', 'dunia', 'indonesia', 'hikmah', 'sanksi', 'fifa', 'israel', 'main', 'palestina', 'ga', 'otomatis', 'merdeka', 'indonesia', 'kehilangan', 'breaking', 'news']",batal tuan rumah piala dunia indonesia hikmah sanksi fifa israel main palestina ga otomatis merdeka indonesia kehilangan breaking news
TimoSu1,2023-03-29 20:07:47+00:00,"Yg gak terima tim israel main siapa?
Gak terima ya mrk gak main, kan sesuai harapan.
@ganjarpranowo @GubernurBALI
https://t.co/YNDhwYxSTU

Indonesia batal jadi tuan rumah Piala Dunia U-20. Ketum PSSI sudah berupaya maksimal melobi FIFA, tapi harus menerima keputusannya.",Yg gak terima tim israel main siapa Gak terima ya mrk gak main kan sesuai harapan Indonesia batal jadi tuan rumah Piala Dunia Ketum PSSI sudah berupaya maksimal melobi FIFA tapi harus menerima keputusannya,"['Yg', 'gak', 'terima', 'tim', 'israel', 'main', 'siapa', 'Gak', 'terima', 'ya', 'mrk', 'gak', 'main', 'kan', 'sesuai', 'harapan', 'Indonesia', 'batal', 'jadi', 'tuan', 'rumah', 'Piala', 'Dunia', 'Ketum', 'PSSI', 'sudah', 'berupaya', 'maksimal', 'melobi', 'FIFA', 'tapi', 'harus', 'menerima', 'keputusannya']",yg gak terima tim israel main siapa gak terima ya mrk gak main kan sesuai harapan indonesia batal jadi tuan rumah piala dunia ketum pssi sudah berupaya maksimal melobi fifa tapi harus menerima keputusannya,"['yang', 'tidak', 'terima', 'tim', 'israel', 'main', 'siapa', 'tidak', 'terima', 'iya', 'mrk', 'tidak', 'main', 'kan', 'sesuai', 'harapan', 'indonesia', 'batal', 'jadi', 'tuan', 'rumah', 'piala', 'dunia', 'ketum', 'pssi', 'sudah', 'berupaya', 'maksimal', 'melobi', 'fifa', 'tapi', 'harus', 'menerima', 'keputusannya']","['terima', 'tim', 'israel', 'main', 'terima', 'iya', 'mrk', 'main', 'sesuai', 'harapan', 'indonesia', 'batal', 'tuan', 'rumah', 'piala', 'dunia', 'ketum', 'pssi', 'berupaya', 'maksimal', 'melobi', 'fifa', 'menerima', 'keputusannya']",terima tim israel main terima iya mrk main sesuai harapan indonesia batal tuan rumah piala dunia ketum pssi berupaya maksimal melobi fifa menerima keputusannya
andyzenfire1,2023-03-29 19:57:06+00:00,"Piala Dunia U-20 2023 di Indonesia Batal, FIFA Belum Tunjuk Negara Pengganti

se more: https://t.co/jOs5A7QZe0",Piala Dunia  di Indonesia Batal FIFA Belum Tunjuk Negara Pengganti se more,"['Piala', 'Dunia', 'di', 'Indonesia', 'Batal', 'FIFA', 'Belum', 'Tunjuk', 'Negara', 'Pengganti', 'se', 'more']",piala dunia di indonesia batal fifa belum tunjuk negara pengganti se more,"['piala', 'dunia', 'di', 'indonesia', 'batal', 'fifa', 'belum', 'tunjuk', 'negara', 'pengganti', 'se', 'more']","['piala', 'dunia', 'indonesia', 'batal', 'fifa', 'negara', 'pengganti', 'more']",piala dunia indonesia batal fifa negara pengganti more
hryxur,2023-03-29 18:25:04+00:00,"Pildun U-20 batal, Indonesia mungkin di Banned Fifa, Liga 1,2,3 stop scr resmi, beribu2 org mungkin bakal jd pengangguran. Dan setiap kekacauan kek gini pasti ada salah satu Parpol yg ikut andil(Simerah), lalu ada jg Alumni ormas 2#2 (Putih2 Fans Real mdrd) yg iku jg bkin panas.",Pildun batal Indonesia mungkin di Banned Fifa Liga    stop scr resmi beribu org mungkin bakal jd pengangguran Dan setiap kekacauan kek gini pasti ada salah satu Parpol yg ikut andil Simerah lalu ada jg Alumni ormas   Putih Fans Real mdrd yg iku jg bkin panas,"['Pildun', 'batal', 'Indonesia', 'mungkin', 'di', 'Banned', 'Fifa', 'Liga', 'stop', 'scr', 'resmi', 'beribu', 'org', 'mungkin', 'bakal', 'jd', 'pengangguran', 'Dan', 'setiap', 'kekacauan', 'kek', 'gini', 'pasti', 'ada', 'salah', 'satu', 'Parpol', 'yg', 'ikut', 'andil', 'Simerah', 'lalu', 'ada', 'jg', 'Alumni', 'ormas', 'Putih', 'Fans', 'Real', 'mdrd', 'yg', 'iku', 'jg', 'bkin', 'panas']",pildun batal indonesia mungkin di banned fifa liga stop scr resmi beribu org mungkin bakal jd pengangguran dan setiap kekacauan kek gini pasti ada salah satu parpol yg ikut andil simerah lalu ada jg alumni ormas putih fans real mdrd yg iku jg bkin panas,"['piala', 'dunia', 'batal', 'indonesia', 'mungkin', 'di', 'banned', 'fifa', 'liga', 'stop', 'secara', 'resmi', 'beribu', 'orang', 'mungkin', 'bakal', 'jadi', 'pengangguran', 'dan', 'setiap', 'kekacauan', 'seperti', 'gini', 'pasti', 'ada', 'salah', 'satu', 'partai', 'politik', 'yang', 'ikut', 'andil', 'simerah', 'lalu', 'ada', 'juga', 'alumni', 'ormas', 'putih', 'fans', 'real', 'mdrd', 'yang', 'iku', 'juga', 'bkin', 'panas']","['piala', 'dunia', 'batal', 'indonesia', 'banned', 'fifa', 'liga', 'stop', 'resmi', 'beribu', 'pengangguran', 'kekacauan', 'gini', 'salah', 'partai', 'politik', 'andil', 'simerah', 'alumni', 'ormas', 'putih', 'fans', 'real', 'mdrd', 'iku', 'bkin', 'panas']",piala dunia batal indonesia banned fifa liga stop resmi beribu pengangguran kekacauan gini salah partai politik andil simerah alumni ormas putih fans real mdrd iku bkin panas
luzidiamanda,2023-03-29 16:26:56+00:00,"Indonesia Batal Jadi Tuan Rumah Piala Dunia U-20, FIFA: Kondisi Tidak Ideal https://t.co/w8SoYcHlH5",Indonesia Batal Jadi Tuan Rumah Piala Dunia FIFA Kondisi Tidak Ideal,"['Indonesia', 'Batal', 'Jadi', 'Tuan', 'Rumah', 'Piala', 'Dunia', 'FIFA', 'Kondisi', 'Tidak', 'Ideal']",indonesia batal jadi tuan rumah piala dunia fifa kondisi tidak ideal,"['indonesia', 'batal', 'jadi', 'tuan', 'rumah', 'piala', 'dunia', 'fifa', 'kondisi', 'tidak', 'ideal']","['indonesia', 'batal', 'tuan', 'rumah', 'piala', 'dunia', 'fifa', 'kondisi', 'ideal']",indonesia batal tuan rumah piala dunia fifa kondisi ideal
vit_sapipa,2023-03-29 16:26:00+00:00,"@idextratime 1. Israel tetap main di piala dunia U-20
2. Palestina tetap bs main di event2 FIFA
3. Israel-Palestina ttp perang
4. Mimpi anak-anak tim Indonesia U-20 HANCUR krn batal bermain di PD
5. Indonesia kemungkinan dpt sanksi dr FIFA

kalo begini siapa yg rugi sih?", Israel tetap main di piala dunia  Palestina tetap bs main di event FIFA  Israel Palestina ttp perang  Mimpi anak anak tim Indonesia HANCUR krn batal bermain di PD  Indonesia kemungkinan dpt sanksi dr FIFA kalo begini siapa yg rugi sih,"['Israel', 'tetap', 'main', 'di', 'piala', 'dunia', 'Palestina', 'tetap', 'bs', 'main', 'di', 'event', 'FIFA', 'Israel', 'Palestina', 'ttp', 'perang', 'Mimpi', 'anak', 'anak', 'tim', 'Indonesia', 'HANCUR', 'krn', 'batal', 'bermain', 'di', 'PD', 'Indonesia', 'kemungkinan', 'dpt', 'sanksi', 'dr', 'FIFA', 'kalo', 'begini', 'siapa', 'yg', 'rugi', 'sih']",israel tetap main di piala dunia palestina tetap bs main di event fifa israel palestina ttp perang mimpi anak anak tim indonesia hancur krn batal bermain di pd indonesia kemungkinan dpt sanksi dr fifa kalo begini siapa yg rugi sih,"['israel', 'tetap', 'main', 'di', 'piala', 'dunia', 'palestina', 'tetap', 'bisa', 'main', 'di', 'event', 'fifa', 'israel', 'palestina', 'ttp', 'perang', 'mimpi', 'anak', 'anak', 'tim', 'indonesia', 'hancur', 'karena', 'batal', 'bermain', 'di', 'pada', 'indonesia', 'kemungkinan', 'dapat', 'sanksi', 'dr', 'fifa', 'kalau', 'begini', 'siapa', 'yang', 'rugi', 'sih']","['israel', 'main', 'piala', 'dunia', 'palestina', 'main', 'event', 'fifa', 'israel', 'palestina', 'ttp', 'perang', 'mimpi', 'anak', 'anak', 'tim', 'indonesia', 'hancur', 'batal', 'bermain', 'indonesia', 'sanksi', 'dr', 'fifa', 'rugi', 'sih']",israel main piala dunia palestina main event fifa israel palestina ttp perang mimpi anak anak tim indonesia hancur batal bermain indonesia sanksi dr fifa rugi sih
IjoLandak,2023-03-29 16:23:37+00:00,"@gibran_tweet @persisofficial kukut wae mas wali, kesempatan buat main piala dunia U20 pupus, selamat yo pak @ganjarpranowo wes kakehan gunem ra mutu
FIFA: Indonesia Batal jadi Tuan Rumah Piala Dunia U-20 https://t.co/NApVFljekd",kukut wae mas wali kesempatan buat main piala dunia pupus selamat yo pak wes kakehan gunem ra mutu FIFA Indonesia Batal jadi Tuan Rumah Piala Dunia,"['kukut', 'wae', 'mas', 'wali', 'kesempatan', 'buat', 'main', 'piala', 'dunia', 'pupus', 'selamat', 'yo', 'pak', 'wes', 'kakehan', 'gunem', 'ra', 'mutu', 'FIFA', 'Indonesia', 'Batal', 'jadi', 'Tuan', 'Rumah', 'Piala', 'Dunia']",kukut wae mas wali kesempatan buat main piala dunia pupus selamat yo pak wes kakehan gunem ra mutu fifa indonesia batal jadi tuan rumah piala dunia,"['kukut', 'wae', 'mas', 'wali', 'kesempatan', 'buat', 'main', 'piala', 'dunia', 'pupus', 'selamat', 'iya', 'pak', 'wes', 'kakehan', 'gunem', 'ra', 'mutu', 'fifa', 'indonesia', 'batal', 'jadi', 'tuan', 'rumah', 'piala', 'dunia']","['kukut', 'wae', 'mas', 'wali', 'kesempatan', 'main', 'piala', 'dunia', 'pupus', 'selamat', 'iya', 'wes', 'kakehan', 'gunem', 'ra', 'mutu', 'fifa', 'indonesia', 'batal', 'tuan', 'rumah', 'piala', 'dunia']",kukut wae mas wali kesempatan main piala dunia pupus selamat iya wes kakehan gunem ra mutu fifa indonesia batal tuan rumah piala dunia
WhozTweet,2023-03-29 15:42:04+00:00,"Indonesia batal jadi tuan rumah Piala Dunia U-20. Beberapa Sanksi sudah menanti Indonesia.

It's Okay, Indonesia!

FIFA Removes Indonesia as host of FIFA U-20 World Cup 2023™

Standa Ganda • Piala Dunia U20 https://t.co/pJQHw5akCR",Indonesia batal jadi tuan rumah Piala Dunia Beberapa Sanksi sudah menanti Indonesia It s Okay Indonesia FIFA Removes Indonesia as host of FIFA World Cup  Standa Ganda Piala Dunia,"['Indonesia', 'batal', 'jadi', 'tuan', 'rumah', 'Piala', 'Dunia', 'Beberapa', 'Sanksi', 'sudah', 'menanti', 'Indonesia', 'It', 's', 'Okay', 'Indonesia', 'FIFA', 'Removes', 'Indonesia', 'as', 'host', 'of', 'FIFA', 'World', 'Cup', 'Standa', 'Ganda', 'Piala', 'Dunia']",indonesia batal jadi tuan rumah piala dunia beberapa sanksi sudah menanti indonesia it s okay indonesia fifa removes indonesia as host of fifa world cup standa ganda piala dunia,"['indonesia', 'batal', 'jadi', 'tuan', 'rumah', 'piala', 'dunia', 'beberapa', 'sanksi', 'sudah', 'menanti', 'indonesia', 'it', 's', 'okay', 'indonesia', 'fifa', 'removes', 'indonesia', 'as', 'host', 'of', 'fifa', 'world', 'cup', 'standa', 'ganda', 'piala', 'dunia']","['indonesia', 'batal', 'tuan', 'rumah', 'piala', 'dunia', 'sanksi', 'indonesia', 'it', 'okay', 'indonesia', 'fifa', 'removes', 'indonesia', 'as', 'host', 'of', 'fifa', 'world', 'cup', 'standa', 'ganda', 'piala', 'dunia']",indonesia batal tuan rumah piala dunia sanksi indonesia it okay indonesia fifa removes indonesia as host of fifa world cup standa ganda piala dunia
DitoAnshr,2023-03-29 15:41:22+00:00,"Indonesia Batal Pildun U-20, terus FIFA tunjuk Qatar buat ganti Indonesia, sama Israel main di Qatar, mau tau reaksi yang nolak bakalan gimana 🤭",Indonesia Batal Pildun terus FIFA tunjuk Qatar buat ganti Indonesia sama Israel main di Qatar mau tau reaksi yang nolak bakalan gimana,"['Indonesia', 'Batal', 'Pildun', 'terus', 'FIFA', 'tunjuk', 'Qatar', 'buat', 'ganti', 'Indonesia', 'sama', 'Israel', 'main', 'di', 'Qatar', 'mau', 'tau', 'reaksi', 'yang', 'nolak', 'bakalan', 'gimana']",indonesia batal pildun terus fifa tunjuk qatar buat ganti indonesia sama israel main di qatar mau tau reaksi yang nolak bakalan gimana,"['indonesia', 'batal', 'piala', 'dunia', 'terus', 'fifa', 'tunjuk', 'qatar', 'buat', 'ganti', 'indonesia', 'sama', 'israel', 'main', 'di', 'qatar', 'mau', 'tahu', 'reaksi', 'yang', 'nolak', 'akan', 'bagaimana']","['indonesia', 'batal', 'piala', 'dunia', 'fifa', 'qatar', 'ganti', 'indonesia', 'israel', 'main', 'qatar', 'reaksi', 'nolak']",indonesia batal piala dunia fifa qatar ganti indonesia israel main qatar reaksi nolak
FaktaSepakbola,2023-03-29 15:27:32+00:00,"Isi full pernyataan resmi dari FIFA.

Apakah Indonesia akan terkena sanksi? Belum ada keputusan dari FIFA.

Yang sudah resmi adalah Indonesia batal jadi tuan rumah. Dan otomatis timnas Indonesia tidak akan ikut serta di Piala Dunia U-20 2023. 💔 https://t.co/lYcTZ91N95",Isi full pernyataan resmi dari FIFA Apakah Indonesia akan terkena sanksi Belum ada keputusan dari FIFA Yang sudah resmi adalah Indonesia batal jadi tuan rumah Dan otomatis timnas Indonesia tidak akan ikut serta di Piala Dunia ,"['Isi', 'full', 'pernyataan', 'resmi', 'dari', 'FIFA', 'Apakah', 'Indonesia', 'akan', 'terkena', 'sanksi', 'Belum', 'ada', 'keputusan', 'dari', 'FIFA', 'Yang', 'sudah', 'resmi', 'adalah', 'Indonesia', 'batal', 'jadi', 'tuan', 'rumah', 'Dan', 'otomatis', 'timnas', 'Indonesia', 'tidak', 'akan', 'ikut', 'serta', 'di', 'Piala', 'Dunia']",isi full pernyataan resmi dari fifa apakah indonesia akan terkena sanksi belum ada keputusan dari fifa yang sudah resmi adalah indonesia batal jadi tuan rumah dan otomatis timnas indonesia tidak akan ikut serta di piala dunia,"['isi', 'full', 'pernyataan', 'resmi', 'dari', 'fifa', 'apakah', 'indonesia', 'akan', 'terkena', 'sanksi', 'belum', 'ada', 'keputusan', 'dari', 'fifa', 'yang', 'sudah', 'resmi', 'adalah', 'indonesia', 'batal', 'jadi', 'tuan', 'rumah', 'dan', 'otomatis', 'timnas', 'indonesia', 'tidak', 'akan', 'ikut', 'serta', 'di', 'piala', 'dunia']","['isi', 'full', 'pernyataan', 'resmi', 'fifa', 'indonesia', 'terkena', 'sanksi', 'keputusan', 'fifa', 'resmi', 'indonesia', 'batal', 'tuan', 'rumah', 'otomatis', 'timnas', 'indonesia', 'piala', 'dunia']",isi full pernyataan resmi fifa indonesia terkena sanksi keputusan fifa resmi indonesia batal tuan rumah otomatis timnas indonesia piala dunia
